total population,housing units,pop_male_under_5,pop_female_under_5,median_family_income_in_the_past_12_months_in_2019_inflation-adjusted_dollars_by_family_size_total,ratio of income to poverty level - < 0.5,children under 6 ratio of income to poverty level - < 0.5,children under 6 by parent employment status - all categories,children under 6 by parent employment status - both parents - in labor force,children under 6 by parent employment status - only father - in labor force,children under 6 by parent employment status - only mother - in labor force,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,children under 6 ratio of income to poverty level - 0.51 - 1.0,children under 6 ratio of income to poverty level - 1.01 - 2.0,children under 6 ratio of income to poverty level - > 2.0,town
6903,4365,67,44,126890.0,77,14,142,98,0,0,20,76,1805,0,0,128,Westbrook
9007,4633,189,293,107654.0,32,46,585,312,0,99,34,227,2359,0,17,522,East Haddam
10090,5735,163,166,101012.0,69,0,465,277,47,37,38,301,2403,0,59,406,Old Saybrook
7221,2913,180,185,129156.0,23,0,398,164,18,68,14,58,1972,0,62,336,Durham
4480,2095,106,122,114583.0,0,0,261,140,59,0,9,63,1179,0,0,261,Deep River
12944,6182,254,229,101429.0,52,18,594,335,60,70,80,308,3258,46,138,392,Clinton
9322,4168,233,275,121372.0,21,10,547,428,0,80,46,159,2215,33,30,474,Portland
8227,3366,69,96,130729.0,40,0,313,226,35,52,57,171,2161,52,0,261,Haddam
6392,2370,163,79,127331.0,45,0,256,187,15,11,11,86,1675,0,0,256,Killingworth
46511,21241,1382,914,92599.0,357,178,2574,1085,331,616,555,922,8526,293,348,1773,Middletown
4381,1948,91,91,128011.0,26,0,224,111,13,15,0,90,1110,0,29,195,Middlefield
6168,2636,252,57,106585.0,42,0,376,136,36,102,79,50,1543,0,21,355,Beacon Falls
54763,22397,1431,1447,76651.0,346,440,3342,1198,275,948,675,1718,9357,314,517,2104,West Haven
5513,2075,121,174,146532.0,3,0,332,262,0,42,23,66,1556,27,0,305,Bethany
28742,12052,580,594,84981.0,216,68,1297,681,145,218,257,721,5744,193,208,913,East Haven
22216,9249,588,369,134910.0,45,10,1203,812,23,57,58,434,5659,0,104,1089,Guilford
18113,8204,362,367,139214.0,46,0,866,496,33,82,52,149,4863,0,15,851,Madison
