town,demand_estimate_working_parents
Westbrook,10.0
East Haddam,45.0
Old Saybrook,46.0
Durham,39.0
Deep River,0.0
Clinton,159.0
Portland,68.0
Haddam,52.0
Killingworth,0.0
Middletown,647.0
Middlefield,18.0
Beacon Falls,16.0
West Haven,921.0
Bethany,25.0
East Haven,378.0
Guilford,85.0
Madison,11.0
Middlebury,0.0
Wolcott,121.0
Wallingford,278.0
Woodbridge,33.0
Ansonia,305.0
Orange,31.0
Oxford,28.0
Branford,340.0
Derby,324.0
New Haven,4448.0
Plainville,156.0
Simsbury,97.0
West Hartford,344.0
Windsor,220.0
East Windsor,160.0
New Britain,2264.0
Bristol,945.0
Southington,251.0
East Granby,0.0
Avon,18.0
Berlin,145.0
Burlington,38.0
Hartland,4.0
East Hartford,1590.0
Hartford,4814.0
Bloomfield,236.0
Glastonbury,62.0
Marlborough,211.0
Rocky Hill,84.0
Chaplin,50.0
Plainfield,347.0
Thompson,114.0
Woodstock,44.0
Scotland,4.0
Pomfret,0.0
Windham,591.0
Ashford,125.0
Brooklyn,147.0
Killingly,316.0
Putnam,54.0
Chester,0.0
Essex,18.0
East Hampton,48.0
Cromwell,42.0
Andover,17.0
Coventry,109.0
Bolton,9.0
Tolland,42.0
Somers,22.0
Vernon,714.0
Union,6.0
Columbia,0.0
Ellington,55.0
Mansfield,69.0
Stafford,94.0
Willington,9.0
Greenwich,321.0
Redding,0.0
New Canaan,36.0
New Fairfield,25.0
Newtown,41.0
Weston,8.0
Easton,0.0
Bridgeport,5423.0
Darien,11.0
Ridgefield,39.0
Shelton,211.0
Westport,53.0
Danbury,1855.0
Sherman,6.0
Brookfield,37.0
Trumbull,127.0
Southbury,23.0
Cheshire,87.0
Hamden,495.0
North Branford,98.0
Seymour,70.0
Waterbury,3789.0
North Haven,167.0
Milford,316.0
Harwinton,0.0
Morris,31.0
Plymouth,91.0
Sharon,38.0
Thomaston,27.0
Salisbury,0.0
Torrington,574.0
Cornwall,3.0
New Milford,192.0
Watertown,159.0
Colebrook,6.0
Goshen,13.0
Woodbury,11.0
Bridgewater,0.0
Canaan,5.0
Litchfield,54.0
Warren,5.0
Norfolk,19.0
North Canaan,30.0
Roxbury,9.0
New Hartford,0.0
Washington,0.0
Canton,0.0
Enfield,532.0
Newington,257.0
Eastford,17.0
Hampton,2.0
Colchester,172.0
New London,617.0
Bozrah,37.0
Franklin,9.0
Lebanon,0.0
Waterford,141.0
North Stonington,75.0
Stonington,161.0
Norwich,1078.0
East Lyme,114.0
Voluntown,8.0
Lisbon,17.0
Montville,170.0
Lyme,21.0
Old Lyme,29.0
Naugatuck,762.0
Prospect,54.0
Meriden,1057.0
South Windsor,46.0
Windsor Locks,185.0
Farmington,133.0
Wethersfield,126.0
Granby,79.0
Manchester,1004.0
Suffield,0.0
Canterbury,12.0
Hebron,52.0
Monroe,71.0
Stratford,527.0
Stamford,1847.0
Wilton,61.0
Fairfield,214.0
Bethel,179.0
Norwalk,1383.0
Bethlehem,45.0
Kent,5.0
Winchester,61.0
Barkhamsted,26.0
Sterling,0.0
Ledyard,247.0
Preston,137.0
Salem,18.0
Sprague,83.0
Groton,676.0
Griswold,128.0
