total population,black or african american,american indian and alaska native,asian,native hawaiian and other pacific islander,other race,hispanic or latinx,non US citizens,male mean usual hours worked,female mean usual hours worked,unemployed,gini index,male median income past 12 months,female median income past 12 months,male median earnings past 12 months,female median earnings past 12 months,receiving social security income,receiving supplemental security income,received public assistance income,received cash public assistance or food stamps/snap,received retirement income,median household income,median household income - white,median household income - black,median household income - american indian / alaska native,median household income - asian,median household income - other race,median household income - 2 or more races,median household income - hispanic or latinx,median family income,median family income - white,median family income - black,median family income - american indian / alaska native,median family income - asian,median family income - other race,median family income - 2 or more races,median family income - hispanic or latinx,housing units,median year housing unit was built,number of owned homes,income quintile means - lowest,income quintile means - second,income quintile means - third,income quintile means - fourth,income quintile means - highest,income quintile means - top 5%,transport to work - car/truck/van,transport to work - public transport,time of departure to work - afternoon,child relationship to householder - foster/not family,educational attainment - no school,primary spoken language at home - english,primary spoken language at home - spanish,primary spoken language at home - chinese,ratio of income to poverty level - < 0.5,number of income earners in family - no earners,number of income earners in family - 1 earner,number of income earners in family - 2 earners,number of income earners in family - 3+ earners,rent paid for non-owned housing units - no rent paid,rent as percentage of income - 50+%,home value of owned/mortgaged housing units - 300k - 400k,home value of owned/mortgaged housing units - 400k - 500k,home value of owned/mortgaged housing units - 500k - 750k,home value of owned/mortgaged housing units - 750k - 1m,monthly housing costs - 3k+,monthly housing costs - no housing cost,computers and internet - computer but no internet,computers and internet - no computer,transport to work - other,time of departure to work - morning,time of departure to work - evening/night,travel time to work - < 20 mins,travel time to work - 21-40 mins,travel time to work - > 40 minns,child relationship to householder - family,educational attainment - K-12 no diploma,educational attainment - high school diploma,educational attainment - some college no degree,educational attainment - college degree,educational attainment - graduate degree,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,rent paid for non-owned housing units - < 500,rent paid for non-owned housing units - 500 - 999,rent paid for non-owned housing units - 1000 - 1999,rent paid for non-owned housing units - 2000 - 2999,rent paid for non-owned housing units - 3000+,rent as percentage of income - <15%,rent as percentage of income - 15-29%,rent as percentage of income - 30-49%,home value of owned/mortgaged housing units - < 50k,home value of owned/mortgaged housing units - 50k - 100k,home value of owned/mortgaged housing units - 100k - 200k,home value of owned/mortgaged housing units - 200k - 300k,home value of owned/mortgaged housing units - 1m+,monthly housing costs - < 500,monthly housing costs - 500-1000,monthly housing costs - 1k - 2k,monthly housing costs - 2k - 3k,computers and internet - computer with internet,town
6903,93,69,70,0,232,191,164,41.4,32.5,2018,0.5251,51948.0,30231.0,52826.0,34073.0,1292,92,19,139,742,79707.0,84202.0,,,,,,,126890.0,128250.0,,,,,,,4365,1969.0,1858,17385.0,42995.0,83247.0,139020.0,358782.0,645775.0,3543,111,345,0,17,6274,200,54,77,236,536,915,291,22,225,707,498,236,181,332,22,129,209,21,3198,132,1626,948,1101,715,277,1379,707,2105,1150,20,76,1805,66,57,411,24,10,76,135,132,92,119,262,337,147,152,639,1198,826,2831,Westbrook
9007,56,67,33,0,160,309,178,42.4,35.3,2408,0.3994,55931.0,35918.0,56735.0,42902.0,1184,131,73,271,851,96928.0,99464.0,,,,,93382.0,105792.0,107654.0,107654.0,,,,,,,4633,1975.0,2237,24216.0,66404.0,97420.0,132976.0,263063.0,402158.0,4297,20,228,0,120,7902,236,0,32,313,860,1086,393,57,20,780,206,212,176,269,57,134,234,43,3802,330,858,1754,1748,1649,339,1799,1268,2378,867,34,227,2359,45,168,245,18,0,60,253,107,50,9,360,1299,15,86,854,1614,760,3272,East Haddam
10090,226,61,219,0,2,583,307,41.9,35.0,3215,0.4363,57706.0,35089.0,57414.0,38504.0,1616,187,78,315,1273,83132.0,83978.0,,,,,,,101012.0,101762.0,,,,,,34844.0,5735,1969.0,2127,23169.0,52819.0,83437.0,135778.0,267543.0,425836.0,4546,93,307,0,10,8611,468,0,69,537,632,1292,350,34,320,1172,537,685,136,352,34,80,231,201,4077,456,2201,1517,1122,1685,259,1834,1207,2635,1873,38,301,2403,28,59,598,117,1,42,253,188,19,21,90,654,192,212,776,1782,1187,4032,Old Saybrook
7221,33,24,112,0,20,81,46,43.3,38.1,1979,0.4185,60639.0,43510.0,66573.0,57361.0,956,75,40,160,798,119905.0,121806.0,,,,,,,129156.0,129906.0,,,,,,,2913,1979.0,1643,31931.0,83009.0,120021.0,159328.0,349026.0,659603.0,3400,72,238,0,112,6465,84,0,23,274,419,1121,253,72,32,707,317,290,63,424,72,113,174,0,3021,213,936,1704,832,1424,97,1274,868,1905,1147,14,58,1972,0,17,50,12,0,16,31,0,40,18,288,894,0,0,594,837,841,2481,Durham
4480,132,56,57,0,55,199,312,40.3,35.1,912,0.4234,60364.0,36496.0,63327.0,43095.0,611,95,36,49,401,85960.0,87277.0,53750.0,,,,,62024.0,114583.0,117708.0,,,,,,,2095,1961.0,945,30519.0,61893.0,86506.0,132310.0,282623.0,531166.0,2392,35,158,26,17,3913,188,0,0,87,287,704,173,40,74,374,121,61,18,138,40,151,137,125,2279,115,1201,751,600,907,79,982,436,1225,519,9,63,1179,0,118,328,47,0,38,220,161,11,13,143,593,16,0,430,836,439,1595,Deep River
12944,131,75,170,0,286,1106,431,42.2,35.8,3403,0.4399,48131.0,32220.0,53500.0,36559.0,1912,176,110,437,1178,79554.0,79762.0,,,95673.0,,,73333.0,101429.0,102103.0,,,96442.0,,,78239.0,6182,1968.0,2960,19518.0,45892.0,80433.0,127220.0,243734.0,385855.0,6208,192,324,26,30,11200,857,13,52,527,919,1838,414,44,318,1041,301,319,66,461,44,212,354,363,5944,495,2925,2103,1735,2364,629,2471,1856,3142,1554,80,308,3258,49,280,647,73,0,125,318,280,154,62,554,1732,74,188,1236,2335,1132,4830,Clinton
9322,79,24,73,0,62,259,54,42.0,36.5,2234,0.4419,61096.0,37672.0,64552.0,43178.0,1258,159,82,338,919,99292.0,97415.0,,,,,113494.0,106776.0,121372.0,121652.0,,,,,,120114.0,4168,1958.0,1986,21074.0,57895.0,97127.0,139356.0,289765.0,510529.0,4409,0,185,52,0,8523,123,0,21,278,582,1222,359,56,139,623,329,144,6,281,56,232,326,91,4047,268,1490,2170,840,1941,443,1945,1072,2297,996,46,159,2215,53,153,393,0,0,16,217,217,54,33,489,1394,14,98,954,1649,703,3183,Portland
8227,219,11,294,0,12,171,228,42.0,35.9,2333,0.3976,61661.0,40099.0,62568.0,50084.0,857,174,49,208,784,110497.0,111045.0,,,,,203864.0,141250.0,130729.0,130833.0,,,2499.0,,203864.0,141250.0,3366,1973.0,1875,24136.0,75607.0,112574.0,159031.0,288640.0,455820.0,3876,83,149,0,14,7549,71,34,40,303,583,1227,316,116,171,754,376,252,0,548,116,96,265,58,3664,204,1105,1528,1384,1498,324,1467,860,2447,1135,57,171,2161,73,208,72,52,0,61,33,123,12,29,306,820,31,103,589,932,813,2740,Haddam
6392,29,0,111,0,22,36,58,40.1,34.7,1667,0.3956,62909.0,34493.0,62520.0,40036.0,854,104,63,102,573,110543.0,109091.0,,,,,,,127331.0,127365.0,,,,,,,2370,1978.0,1445,28336.0,70395.0,109439.0,160028.0,286328.0,444722.0,3140,13,202,25,0,5783,80,18,45,193,492,725,407,0,0,683,400,295,45,383,0,157,105,30,2812,169,875,1523,785,1284,88,1033,601,1663,1241,11,86,1675,0,25,101,17,0,29,56,13,86,54,223,319,56,0,420,784,717,2042,Killingworth
46511,7877,606,3331,79,1134,5195,2557,39.7,34.9,13402,0.4716,44597.0,28993.0,47268.0,33666.0,5517,868,754,3024,3513,65572.0,71993.0,48484.0,,70046.0,29250.0,60208.0,43576.0,92599.0,101355.0,56831.0,,86389.0,40495.0,93268.0,43692.0,21241,1972.0,7014,12886.0,37960.0,66494.0,105136.0,222715.0,382990.0,20386,431,2022,34,259,36091,3183,458,357,1204,3255,4707,1194,336,1985,1933,599,184,45,822,336,1474,2363,2150,18644,2301,10340,10094,2533,7823,2039,8883,5936,9076,5554,555,922,8526,987,2241,5315,221,24,964,3204,2369,141,497,3237,3474,60,1330,4593,9500,2713,15457,Middletown
