City,Total_Infants_and_Toddlers_Needing_Care_InfantsToddlers,Infants_and_Toddlers_less_than_100%_FPL_needing_Care_InfantsToddlers,Infants_and_Toddlers_in_Families_Earning_Less_than_50%_State_Median_Income_Needing_Care_InfantsToddlers,Infants_and_Toddlers_in_Families_Earning_Less_than_State_Median_Income_Needing_Care_InfantsToddlers,Children_Served_by_Funding_estimated_InfantsToddlers,Funded Children-Children Needing Care/Subsidy_InfantsToddlers,Total_Preschoolers_Needing_Care_Preschoolers,Preschoolers_in_Poverty_Needing_Care_Preschoolers,Preschoolers_in_Families_Earning_Less_than_50%_State_Median_Income_Needing_Care_Preschoolers,Preschoolers_in_Families_Earning_Less_than_State_Median_Income_Needing_Care_Preschoolers,Children_Served_by_Funding_Estimate_Preschoolers,Funded_Children_Children_Needing_Funding_Preschoolers
Total,"74,600","12,670","24,524","42,182","10,641","-31,541","69,410","11,396","21,935","38,104","39,944","1,841"
Andover,5,*,*,*,0,-5,5,*,*,*,32,27
Ansonia,468,160,248,347,70,-277,388,133,205,288,548,260
Ashford,5,*,*,*,0,-5,5,*,*,*,49,44
Avon,351,15,28,76,24,-52,234,10,19,50,234,184
Barkhamsted,5,*,*,*,1,-4,5,*,*,*,29,24
Beacon Falls,5,*,*,*,0,-5,5,*,*,*,19,14
Berlin,432,0,15,106,67,-39,434,0,15,106,114,8
Bethany,5,*,*,*,13,8,5,*,*,*,19,14
Bethel,399,7,71,185,48,-137,322,6,57,149,261,112
Bethlehem,5,*,*,*,1,-4,5,*,*,*,1,-4
Bloomfield,334,0,43,170,87,-83,289,0,37,147,724,576
Bolton,5,*,*,*,0,-5,5,*,*,*,11,6
Bozrah,5,*,*,*,0,-5,5,*,*,*,25,20
Branford,428,35,81,258,63,-195,366,30,70,221,123,-98
Bridgeport,4213,1475,2561,3577,"1,296","-2,281",3942,1381,2397,3348,3645,297
Bridgewater,5,*,*,*,0,-5,5,*,*,*,0,-5
Bristol,1493,281,550,893,93,-800,1344,253,496,804,666,-139
Brookfield,325,10,48,116,49,-67,272,8,40,97,89,-8
Brooklyn,5,*,*,*,36,31,5,*,*,*,143,138
Burlington,253,26,26,85,6,-79,141,15,15,48,23,-25
Canaan,5,*,*,*,13,8,5,*,*,*,45,40
Canterbury,5,*,*,*,7,2,5,*,*,*,61,56
Canton,5,*,*,*,6,1,5,*,*,*,32,27
Chaplin,5,*,*,*,24,19,5,*,*,*,50,45
Cheshire,360,20,30,54,30,-24,462,26,38,69,104,35
Chester,5,*,*,*,3,-2,5,*,*,*,2,-3
Clinton,216,22,60,128,10,-118,296,31,82,176,107,-70
Colchester,331,0,16,104,32,-72,309,0,15,97,145,48
Colebrook,5,*,*,*,3,-2,5,*,*,*,3,-2
Columbia,5,*,*,*,70,65,5,*,*,*,41,36
Cornwall,15,2,5,5,2,-3,13,2,4,4,2,-2
Coventry,5,*,*,*,6,1,5,*,*,*,117,112
Cromwell,336,6,9,101,36,-65,298,5,8,90,53,-37
Danbury,2361,339,843,1427,190,"-1,238",1594,229,569,964,881,-83
Darien,470,25,27,48,0,-48,602,32,34,61,134,73
Deep River,5,*,*,*,0,-5,5,*,*,*,4,-1
Derby,400,133,165,295,58,-237,282,94,116,208,59,-149
Durham,5,*,*,*,8,3,5,*,*,*,8,3
East Granby,5,*,*,*,9,4,5,*,*,*,4,-1
East Haddam,240,28,75,108,3,-105,214,25,67,96,22,-74
East Hampton,251,0,9,68,19,-49,390,0,14,106,73,-33
East Hartford,1239,369,625,996,254,-742,1012,301,511,814,1023,209
East Haven,563,54,147,409,44,-365,497,48,130,362,222,-140
East Lyme,223,0,23,105,21,-84,323,0,33,152,96,-57
