Town,Part_Time_TotalCapacity,Full_Time_TotalCapacity,Part_Time_CentersNonPublic,Full_Time_CentersNonPublic,Part_Time_PublicSchools,Full_Time_PublicSchools,Part_Time_LicensedFamilyChildCare,Full_Time_LicensedFamilyChildCare,Part_Time_LicenseExemptC4KRelativeCare
Andover,32,24,0,14,32,0,0,9,0
Ansonia,74,421,56,260,18,100,0,39,0
Ashford,48,14,0,0,48,0,0,12,0
Avon,107,422,44,266,63,134,0,22,0
Barkhamsted,28,13,0,0,28,0,0,12,0
Beacon Falls,9,41,0,30,9,0,0,11,0
Berlin,126,228,69,191,57,0,0,37,0
Bethany,43,63,32,52,11,0,0,9,0
Bethel,159,235,44,204,115,0,0,31,0
Bethlehem,0,16,0,16,0,0,0,0,0
Bloomfield,0,885,0,366,0,440,0,79,0
Bolton,10,58,0,45,10,0,0,12,0
Bozrah,25,0,0,0,25,0,0,0,0
Branford,109,256,84,210,25,16,0,27,0
Bridgeport,113,3971,113,2407,0,1089,0,475,0
Bristol,342,889,19,700,323,0,0,136,0
Brookfield,94,315,54,301,40,0,0,14,0
Brooklyn,117,85,0,41,117,0,0,44,0
Burlington,20,144,0,130,20,0,0,14,0
Canaan,16,43,0,43,16,0,0,0,0
Canterbury,55,25,0,15,55,0,0,9,0
Canton,74,75,47,62,27,0,0,13,0
Chaplin,0,58,0,19,0,33,0,4,0
Cheshire,200,344,132,301,68,0,0,43,0
Chester,0,25,0,13,0,0,0,12,0
Clinton,44,126,20,65,24,40,0,17,0
Colchester,30,264,30,125,0,91,0,44,0
Colebrook,0,8,0,8,0,0,0,0,0
Columbia,94,67,68,43,26,0,0,24,0
Cornwall,0,18,0,18,0,0,0,0,0
Coventry,32,149,32,28,0,80,0,37,0
Cromwell,72,290,40,262,32,0,0,26,0
Danbury,131,1280,66,978,65,215,0,87,0
Darien,688,36,558,22,130,0,0,14,0
Deep River,33,24,33,24,0,0,0,0,0
Derby,0,121,0,54,0,30,0,23,0
Durham,13,60,13,56,0,0,0,4,0
East Granby,45,58,45,58,0,0,0,0,0
East Haddam,36,34,20,21,16,0,0,11,0
East Hampton,68,225,21,179,47,0,0,46,0
East Hartford,139,986,40,362,99,423,0,201,0
East Haven,65,271,31,56,34,110,0,79,0
East Lyme,59,174,0,153,59,0,0,15,0
East Windsor,0,123,0,42,0,53,0,28,0
Eastford,0,21,0,0,0,17,0,4,0
Easton,56,100,32,96,24,0,0,4,0
Ellington,106,164,56,113,50,0,0,51,0
Enfield,127,708,31,599,96,0,0,87,0
Essex,80,37,25,35,55,0,0,2,0
Fairfield,598,508,519,454,79,0,0,54,0
Farmington,125,464,0,449,125,0,0,15,0
Franklin,21,20,0,20,21,0,0,0,0
Glastonbury,112,536,58,413,54,70,0,53,0
Goshen,0,4,0,4,0,0,0,0,0
Granby,75,130,37,106,38,0,0,24,0
Greenwich,1007,606,875,546,132,47,0,8,0
Griswald,0,25,0,8,0,7,0,4,0
Griswold,101,178,0,152,101,0,0,23,0
Groton,276,384,92,218,184,119,0,27,0
Guilford,95,309,59,305,36,0,0,4,0
Haddam,40,22,20,18,20,0,0,4,0
Hamden,195,851,195,540,0,187,0,124,0
Hampton,0,12,0,0,0,11,0,0,0
Hartford,113,3809,113,2096,0,1317,0,396,0
Hartland,15,4,0,0,15,0,0,4,0
Harwinton,0,45,0,40,0,0,0,5,0
Hebron,0,183,0,0,0,0,0,30,0
Kent,41,0,25,0,16,0,0,0,0
Killingly,140,190,15,80,125,66,0,37,0
Killingworth,0,45,0,34,0,0,0,11,0
Lebanon,66,19,20,9,46,0,0,10,0
Ledyard,70,170,28,141,42,0,0,25,0
Lisbon,32,5,0,0,32,0,0,3,0
Litchfield,84,95,84,47,0,39,0,8,0
Lyme,0,0,0,0,0,0,0,0,0
Madison,102,301,102,244,0,45,0,12,0
Manchester,134,1026,117,666,17,191,0,114,0
Mansfield,108,181,0,151,108,0,0,28,0
Marlborough,10,52,0,38,10,0,0,12,0
Meriden,119,1052,74,941,45,0,0,111,0
Middlebury,50,68,25,61,25,0,0,6,0
Middlefield,0,79,0,64,0,0,0,15,0
Middletown,150,714,21,611,129,16,0,87,0
Milford,238,633,108,496,130,34,0,92,0
Monroe,131,165,90,134,41,0,0,28,0
Montville,57,136,20,105,37,0,0,25,0
Morris,0,6,0,0,0,0,0,6,0
Naugatuck,30,415,30,237,0,120,0,58,0
