CDC,CSR,PSR,SS,SHS,"TOWN
(ALL)","CONTRACTOR/GRANTEE
(CDC)",ADDRESS,TOWN,ZIP,PHONE,EMAIL,"CONTRACTOR CONTACT
(SS)","PHONE
(SS)","EMAIL
(SS)","REPORTING CONTACT
(SS)","PHONE
(SS)","EMAIL
(SS)","CONTRACTOR/GRANTEE
(SHS)",ADDRESS,TOWN,ZIP,CONTACT PERSON,PHONE,EMAIL,DELEGATE,ADDRESS,TOWN,ZIP,DELEGATE CONTACT PERSON,PHONE,EMAIL,"PROGRAM/SITE/SUBGRANTEE 
(Registry Licensed Name)
(ALL)",ADDRESS,TOWN,ZIP,LICENSE #,NAEYC ID,NAEYC EXPIRATION,REGISTRY ID,FACILITY CODE (ECIS & PSIS),"PROGRAM/
SITE CONTACT
(CDC)","PHONE
(CDC)","EMAIL
(CDC)","PROGRAM/
SITE CONTACT
(SR)","PHONE
(SR)","EMAIL
(SR)","
SITE CONTACT (IF different from Contractor contact)
(SS)","PHONE
(SS)","EMAIL
(SS)","PROGRAM/
SITE CONTACT
(SHS)","PHONE
(SHS)","EMAIL
(SHS)","CONTACT LIAISON
(SR)",ADDRESS,TOWN,ZIP,PHONE,EMAIL,"REPORTING CONTACT
(CDC)",EMAIL,"FISCAL CONTACT 
(CDC)",EMAIL,"FISCAL CONTACT 
(SR)",EMAIL,"CHIEF ELECTED OFFICIAL, TITLE
(SR)",PHONE,EMAIL,"SUPERINTENDENT
(SR)",PHONE,EMAIL,"COUNCIL CHAIR/CO-CHAIRS-1
(SR)",ADDRESS,TOWN,ZIP,PHONE,EMAIL,"COUNCIL CHAIR/CO-CHAIRS-2
(SR)",ADDRESS,TOWN,ZIP,PHONE,EMAIL
,X,,X,,ANDOVER,,,,,,,John Briody,860-742-7339,briodyj@andoverelementaryct.org,Diane Kane,860-742-7339,kaned@andoverelementaryct.org,,,,,,,,,,,,,,,Andover BOE at Early Learning Center,35 School Road,Andover,06232,Exempt,724947,2/1/2025,1658,0010111,,,,John Briody,860-742-7339,briodyj@andoverelementaryct.org,,,,,,,Marilyn Piecuch,99 Cannon Drive,Amston,06231,860-228-3115,m99piecuch@comcast.net,,,,,Laura Webb Edwards,edwardsl@andoverelementaryct.org,"Jeff Maguire, First Selectman",860-742-7305,andoverselectman1@comcast.net,"Sally Doyen, Superintendent",860-742-7339,doyens@andoverelementaryct.org,Jeff Maguire,35 School Street,Andover,06232,860-742-7305,andoverselectman1@comcast.net,Sally Doyen,35 School Street,Andover,06232,860-742-7339,doyens@andoverelementaryct.org
,,,X,,ANSONIA,,,,,,,Diana Brancato,203-736-5095 x1021,dbrancato@ansonia.org,Eileen Ehman,203-736-5095,eehman@ansonia.org,,,,,,,,,,,,,,,Ansonia BOE at Mead School,75 Ford Street,Ansonia,06401,Exempt,723162,12/1/2022,7463,0020311,,,,,,,Jillian Clemente,203-736-5090,jclemente@ansonia.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,,,ANSONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,Ansonia Public Schools Pre-K,115 Howard Avenue,Ansonia,06401,DCEX 80523,723162,12/1/2022,2002,0025111,,,,Tracy Platt,203-736-6964,tplatt@ansonia.org,,,,,,,Krista Gambino,115 Howard Avenue,Ansonia,06401,203-736-5052,kgambino@ansonia.org,,,,,Eileen Ehman,eehman@ansonia.org,"Dave Cassetti, Mayor",203-736-5900,dcassetti@ansoniact.org,Dr. Joseph DiBacco,203-736-5052,jdibacco@ansonia.org,Carissa Caserta,98 Bank Street,Seymour,06483,203-881-3255,ccaserta@nvhd.org,Mary Sue Feige,35 Bungay Road,Seymour,06483,203-881-7500,MSueFeige@seymourschools.org
,,X,,,ANSONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,Julia Day Nursery and Kindergarten,76 Central Street,Ansonia,06401,12594,276751,10/1/2022,844,0020241,,,,Sharon Kelley,203-736-2554,juldaynursery@sbcglobal.net,,,,,,,Krista Gambino,115 Howard Avenue,Ansonia,06401,203-736-5052,kgambino@ansonia.org,,,,,Eileen Ehman,eehman@ansonia.org,"Dave Cassetti, Mayor",203-736-5900,dcassetti@ansoniact.org,Dr. Joseph DiBacco,203-736-5052,jdibacco@ansonia.org,Carissa Caserta,98 Bank Street,Seymour,06483,203-881-3255,ccaserta@nvhd.org,Mary Sue Feige,35 Bungay Road,Seymour,06483,203-881-7500,MSueFeige@seymourschools.org
,,X,,,ANSONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Naugatuck Valley School Early Ch Ed,80 Howard Avenue,Ansonia,06401,14288,583845,6/1/2024,1589,0020541,,,,Jamie Peterson,203-734-8609,jpeterson@teaminc.org,,,,,,,Krista Gambino,115 Howard Avenue,Ansonia,06401,203-736-5052,kgambino@ansonia.org,,,,,Eileen Ehman,eehman@ansonia.org,"Dave Cassetti, Mayor",203-736-5900,dcassetti@ansoniact.org,Dr. Joseph DiBacco,203-736-5052,jdibacco@ansonia.org,Carissa Caserta,98 Bank Street,Seymour,06483,203-881-3255,ccaserta@nvhd.org,Mary Sue Feige,35 Bungay Road,Seymour,06483,203-881-7500,MSueFeige@seymourschools.org
,,X,,,ANSONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,Valley YMCA Child Care Center,32 Howard Avenue,Ansonia,06401,16707,726781,5/1/2020,2103,0020641,,,,Barbara Eckner,203-732-7778,beckner@cccymca.org,,,,,,,Krista Gambino,115 Howard Avenue,Ansonia,06401,203-736-5052,kgambino@ansonia.org,,,,,Eileen Ehman,eehman@ansonia.org,"Dave Cassetti, Mayor",203-736-5900,dcassetti@ansoniact.org,Dr. Joseph DiBacco,203-736-5052,jdibacco@ansonia.org,Carissa Caserta,98 Bank Street,Seymour,06483,203-881-3255,ccaserta@nvhd.org,Mary Sue Feige,35 Bungay Road,Seymour,06483,203-881-7500,MSueFeige@seymourschools.org
,X,,,,ASHFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashford BOE at Ashford Elementary,440 Westford Road,Ashford,06278,Exempt,290942,8/1/2022,1733,0030111,,,,Troy Hopkins,860-429-6419,thopkins@ashfordct.org,,,,,,,Sharon Kozey,440 Westford Road,Ashford,06278,860-933-8587,skozey@manchesterct.gov,,,,,Karen Monroe,kmunroe@ashfordct.ogr,Michael Zambo,860-487-4400,firstselectman@ashfordtownhall.org,James Longo,860-429-1927,jplongo@ashfordct.org,Maribeth Stearns,440 Westford Road,Ashford,06278,860-377-8035,mstearns527@hotmail.com,,,,,,
X,,,,,BLOOMFIELD,"Nancy Haynes, Town of Bloomfield",800 Bloomfield Avenue,Bloomfield,06002,860-769-3541,nhaynes@bloomfieldct.org,,,,,,,,,,,,,,,,,,,,,Bloomfield Early Learning Center,73 Rockwell Avenue,Bloomfield,06002,13256,280739,9/1/2018,363,0110141,"Karen Yorker,Prog. Direct.",860-243-2665,kyorker@belc.co,,,,,,,,,,,,,,,,Mary Ann Harris,mharris@belc.co,Nancy Haynes,nhaynes@bloomfieldct.org,,,,,,,,,,,,,,,,,,,,
,,X,,,BLOOMFIELD,,,,,,cbromson@enfield.org,,,,,,,,,,,,,,,,,,,,,First Cong Church Child Development Center,10 Wintonbury Avenue,Bloomfield,06002,12135,274471,2/1/2023,365,0110241,,,,Shantel Bremmer,860-242-0183,preschool@firstchurchbloomfield.org,,,,,,,Gail Nolan,1 Filley Street,Bloomfield,06002,860-769-5518                 860-416-6057,gnolan@blmfld.org,,,,,Nancy Haynes,nhaynes@bloomfieldct.org,Suzette DeBeatham-Brown,860-913-6524,sbrown@bloomfieldct.org,"James Thompson, Superintendent",860-769-4212,jthompson@blmfld.org,Sheila Crocker,26 Briar Lane,Bloomfield,06002,860-849-1787,scrocker85@gmail.com,,,,,,
,,X,,,BLOOMFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,The First Academy,1151 Blue Hills Avenue,Bloomfield,06002,70269,NEW,Accreditated by date 7/1/2020,7526,0110541,,,,Evoni Davis,860-243-6520,edavis@firstcathedral.org,,,,,,,Gail Nolan,1 Filley Street,Bloomfield,06002,860-769-5518                         860-416-6057,gnolan@blmfld.org,,,,,Nancy Haynes,nhaynes@bloomfieldct.org,Suzette DeBeatham-Brown,860-913-6524,sbrown@bloomfieldct.org,"James Thompson, Superintendent",860-769-4212,jthompson@blmfld.org,Sheila Crocker,26 Briar Lane,Bloomfield,06002,860-849-1787,scrocker85@gmail.com,,,,,,
