,city,children_needing_care_demandestimated_infantstoddlers,available_spaces_for_children_supply_infantstoddlers,percent_of_need_met_infantstoddlers,shortage_of_care_infantstoddlers,children_needing_care_demandestimated_preschoolers,available_spaces_for_children_supply_preschoolers,percent_of_need_met_preschoolers,shortage_of_care_preschoolers,is_imputed_infantstoddlers,is_imputed_preschoolers,expected_slots_by_need_infantstoddlers,delta_slots_infantstoddlers,capacity_above_expectation_infantstoddlers,expected_slots_by_need_preschoolers,delta_slots_preschoolers,capacity_above_expectation_preschoolers,,,,,,,,,,,,,,,,,,,,,,,,,
1,Andover,5,5,100%,0,5,56,1120%,51,1,1,1.555792448,3.444207552,221.3796292,4.887100486,51.11289951,1045.873717,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ansonia,468,64,14%,-404,388,495,128%,107,0,0,145.6221731,-81.6221731,-56.05064899,379.2389977,115.7610023,30.52455127,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ashford,5,8,160%,3,90,62,1240%,57,1,1,1.555792448,6.444207552,414.2074068,87.96780875,-25.96780875,-29.51967216,,,,,,,,,,,,,,,,,,,,,,,,,
4,Avon,351,217,62%,-134,234,529,226%,295,0,0,109.2166298,107.7833702,98.68769101,228.7163027,300.2836973,131.2909022,,,,,,,,,,,,,,,,,,,,,,,,,
5,Barkhamsted,97,6,120%,1,5,41,820%,36,1,1,30.18237348,-24.18237348,-80.12084768,4.887100486,36.11289951,738.9432572,,,,,,,,,,,,,,,,,,,,,,,,,
6,Beacon Falls,28,3,60%,-2,37,50,1000%,45,1,1,8.712437707,-5.712437707,-65.5664683,36.1645436,13.8354564,38.25696394,,,,,,,,,,,,,,,,,,,,,,,,,
7,Berlin,432,159,37%,-273,434,354,82%,-80,0,0,134.4204675,24.57953252,18.28555798,424.2003222,-70.20032218,-16.54886112,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bethany,44,77,1540%,72,12,106,2120%,101,1,1,13.69097354,63.30902646,462.4143512,11.72904117,94.27095883,803.7396876,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bethel,399,121,30%,-278,322,394,122%,72,0,0,124.1522373,-3.152237322,-2.539009679,314.7292713,79.2707287,25.18695779,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bethlehem,5,8,160%,3,149,16,320%,11,1,1,1.555792448,6.444207552,414.2074068,145.6355945,-129.6355945,-89.01367481,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bloomfield,334,136,41%,-198,289,885,306%,596,0,0,103.9269355,32.0730645,30.8611664,282.4744081,602.5255919,213.3027186,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bolton,79,6,120%,1,81,68,1360%,63,1,1,24.58152067,-18.58152067,-75.59142056,79.17102787,-11.17102787,-14.10999475,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bozrah,10,0,0%,-5,44,25,500%,20,1,1,3.111584895,-3.111584895,-100,43.00648428,-18.00648428,-41.86923107,,,,,,,,,,,,,,,,,,,,,,,,,
14,Branford,428,187,44%,-241,366,365,100%,-1,0,0,133.1758335,53.82416648,40.41586605,357.7357556,7.264244426,2.03061738,,,,,,,,,,,,,,,,,,,,,,,,,
15,Bridgeport,4213,1225,29%,-2988,3942,4084,104%,142,0,0,1310.910716,-85.91071639,-6.553513928,3852.990023,231.0099769,5.995602778,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bridgewater,5,140,0%,-5,120,427,0%,-5,1,1,1.555792448,138.4442076,8898.629619,117.2904117,309.7095883,264.0536289,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bristol,1493,362,24%,-1131,1344,1231,92%,-113,0,0,464.5596249,-102.5596249,-22.07674093,1313.652611,-82.65261063,-6.291816418,,,,,,,,,,,,,,,,,,,,,,,,,
18,Brookfield,325,141,43%,-184,272,409,150%,137,0,0,101.1265091,39.8734909,39.42931607,265.8582664,143.1417336,53.84137025,,,,,,,,,,,,,,,,,,,,,,,,,
19,Brooklyn,50,51,1020%,46,5,202,4040%,197,1,1,15.55792448,35.44207552,227.8072218,4.887100486,197.1128995,4033.330194,,,,,,,,,,,,,,,,,,,,,,,,,
20,Burlington,253,89,35%,-164,141,164,117%,23,0,0,78.72309785,10.27690215,13.05449408,137.8162337,26.1837663,18.99904358,,,,,,,,,,,,,,,,,,,,,,,,,
21,Canaan,5,20,400%,15,5,59,1180%,54,1,1,1.555792448,18.44420755,1185.518517,4.887100486,54.11289951,1107.259809,,,,,,,,,,,,,,,,,,,,,,,,,
22,Canterbury,56,15,300%,10,118,80,1600%,75,1,1,17.42487541,-2.424875414,-13.91617074,115.3355715,-35.33557147,-30.63718419,,,,,,,,,,,,,,,,,,,,,,,,,
23,Canton,43,55,1100%,50,8,149,2980%,144,1,1,13.37981505,41.62018495,311.0669676,7.819360778,141.1806392,1805.526606,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chaplin,76,23,460%,18,5,58,1160%,53,1,1,23.6480452,-0.648045204,-2.740375361,4.887100486,53.11289951,1086.797778,,,,,,,,,,,,,,,,,,,,,,,,,
25,Cheshire,360,184,51%,-176,462,544,118%,82,0,0,112.0170562,71.98294377,64.26069939,451.5680849,92.4319151,20.46909828,,,,,,,,,,,,,,,,,,,,,,,,,
26,Chester,78,6,120%,1,117,25,500%,20,1,1,24.27036218,-18.27036218,-75.27849006,114.3581514,-89.35815137,-78.13885613,,,,,,,,,,,,,,,,,,,,,,,,,
27,Clinton,216,36,17%,-180,296,170,57%,-126,0,0,67.21023374,-31.21023374,-46.43672846,289.3163488,-119.3163488,-41.24079032,,,,,,,,,,,,,,,,,,,,,,,,,
28,Colchester,331,90,27%,-241,309,294,95%,-15,0,0,102.99346,-12.99346003,-12.61581078,302.02281,-8.022810034,-2.656358979,,,,,,,,,,,,,,,,,,,,,,,,,
29,Colebrook,37,6,120%,1,28,8,160%,3,1,1,11.51286411,-5.512864113,-47.88438445,27.36776272,-19.36776272,-70.76852762,,,,,,,,,,,,,,,,,,,,,,,,,
30,Columbia,78,106,2120%,101,160,161,3220%,156,1,1,24.27036218,81.72963782,336.7466756,156.3872156,4.612784449,2.949591776,,,,,,,,,,,,,,,,,,,,,,,,,
31,Cornwall,15,8,53%,-7,13,18,136%,5,0,0,4.667377343,3.332622657,71.40246893,12.70646126,5.293538736,41.66021229,,,,,,,,,,,,,,,,,,,,,,,,,
32,Coventry,38,32,640%,27,163,181,3620%,176,1,1,11.8240226,20.1759774,170.6354773,159.3194758,21.68052416,13.60820706,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cromwell,336,214,64%,-122,298,362,121%,64,0,0,104.5492525,109.4507475,104.6882162,291.271189,70.72881104,24.28280369,,,,,,,,,,,,,,,,,,,,,,,,,
34,Danbury,2361,408,17%,-1953,1594,1411,89%,-183,0,0,734.6451938,-326.6451938,-44.46298656,1558.007635,-147.0076349,-9.435617107,,,,,,,,,,,,,,,,,,,,,,,,,
35,Darien,470,38,8%,-432,602,724,120%,122,0,0,146.2444901,-108.2444901,-74.01611508,588.4068985,135.5931015,23.04410465,,,,,,,,,,,,,,,,,,,,,,,,,
36,Deep River,28,2,40%,-3,119,57,1140%,52,1,1,8.712437707,-6.712437707,-77.0443122,116.3129916,-59.31299157,-50.99429631,,,,,,,,,,,,,,,,,,,,,,,,,
37,Derby,400,110,28%,-290,282,121,43%,-161,0,0,124.4633958,-14.46339581,-11.62060196,275.6324674,-154.6324674,-56.10096258,,,,,,,,,,,,,,,,,,,,,,,,,
38,Durham,5,43,860%,38,181,73,1460%,68,1,1,1.555792448,41.44420755,2663.864811,176.9130376,-103.9130376,-58.73678899,,,,,,,,,,,,,,,,,,,,,,,,,
39,East Granby,10,66,1320%,61,46,103,2060%,98,1,1,3.111584895,62.8884151,2021.105553,44.96132447,58.03867553,129.0857781,,,,,,,,,,,,,,,,,,,,,,,,,
40,East Haddam,240,29,12%,-211,214,70,33%,-144,0,0,74.67803749,-45.67803749,-61.16662813,209.1679008,-139.1679008,-66.534062,,,,,,,,,,,,,,,,,,,,,,,,,
41,East Hampton,251,130,52%,-121,390,293,75%,-97,0,0,78.10078087,51.89921913,66.4516008,381.1938379,-88.19383791,-23.13621815,,,,,,,,,,,,,,,,,,,,,,,,,
42,East Hartford,1239,326,26%,-913,1012,1125,111%,113,0,0,385.5253685,-59.52536853,-15.44006527,989.1491384,135.8508616,13.73411312,,,,,,,,,,,,,,,,,,,,,,,,,
43,East Haven,563,96,17%,-467,497,336,68%,-161,0,0,175.1822296,-79.18222961,-45.19992112,485.7777883,-149.7777883,-30.8325724,,,,,,,,,,,,,,,,,,,,,,,,,
44,East Lyme,223,144,65%,-79,323,233,72%,-90,0,0,69.38834317,74.61165683,107.527653,315.7066914,-82.70669139,-26.19731974,,,,,,,,,,,,,,,,,,,,,,,,,
45,East Windsor,5,33,660%,28,143,123,2460%,118,1,1,1.555792448,31.44420755,2021.105553,139.7710739,-16.7710739,-11.99895903,,,,,,,,,,,,,,,,,,,,,,,,,
46,Eastford,20,2,40%,-3,65,21,420%,16,1,1,6.223169791,-4.223169791,-67.86203708,63.53230632,-42.53230632,-66.94595047,,,,,,,,,,,,,,,,,,,,,,,,,
47,Easton,173,38,22%,-135,67,156,233%,89,0,0,53.83041869,-15.83041869,-29.40794271,65.48714651,90.51285349,138.2146853,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ellington,432,92,21%,-340,346,270,78%,-76,0,0,134.4204675,-42.42046748,-31.55804192,338.1873536,-68.18735363,-20.16259712,,,,,,,,,,,,,,,,,,,,,,,,,
49,Enfield,780,387,50%,-393,817,835,102%,18,0,0,242.7036218,144.2963782,59.45373912,798.5522194,36.44778059,4.564232583,,,,,,,,,,,,,,,,,,,,,,,,,
50,Essex,19,31,620%,26,243,117,2340%,112,1,1,5.912011301,25.0879887,424.3562372,237.5130836,-120.5130836,-50.73955581,,,,,,,,,,,,,,,,,,,,,,,,,
51,Fairfield,1382,360,26%,-1022,1415,1106,78%,-309,0,0,430.0210325,-70.02103253,-16.2831646,1383.049438,-277.0494375,-20.03178122,,,,,,,,,,,,,,,,,,,,,,,,,
52,Farmington,509,410,81%,-99,400,589,147%,189,0,0,158.3796712,251.6203288,158.8716071,390.9680389,198.0319611,50.65170076,,,,,,,,,,,,,,,,,,,,,,,,,
53,Franklin,11,20,400%,15,105,41,820%,36,1,1,3.422743385,16.57725662,484.3265986,102.6291102,-61.62911021,-60.05032109,,,,,,,,,,,,,,,,,,,,,,,,,
54,Glastonbury,665,349,52%,-316,816,648,79%,-168,0,0,206.9203955,142.0796045,68.66389565,797.5747993,-149.5747993,-18.75370178,,,,,,,,,,,,,,,,,,,,,,,,,
55,Goshen,78,14,280%,9,147,4,80%,-1,1,1,24.27036218,-10.27036218,-42.3164768,143.6807543,-139.6807543,-97.21605025,,,,,,,,,,,,,,,,,,,,,,,,,
56,Granby,36,70,1400%,65,15,205,4100%,200,1,1,11.20170562,58.79829438,524.9048346,14.66130146,190.3386985,1298.238762,,,,,,,,,,,,,,,,,,,,,,,,,
