,city,total_preschoolers_needing_care,total#_preschool_slots_public/charter/magnet_school_funded_includesoverlaps,#needed_to_expand_public_preschool_to_meet_100%_demand_#needingcare_currentpublicpreschool,is_imputed_preschool,expected_slots_by_need_preschool,delta_slots_preschool,capacity_above_expectation_preschool
1,Andover,5,32,-27,1,1.299151454,30.70084855,2363.146226
2,Ansonia,388,118,270,0,100.8141528,17.18584721,17.04705811
3,Ashford,5,48,-43,1,1.299151454,46.70084855,3594.719339
4,Avon,234,197,37,0,60.80028803,136.199712,224.011623
5,Barkhamsted,74,28,-23,1,19.22744151,8.772558488,45.62519918
6,Beacon Falls,23,9,-4,1,5.976096686,3.023903314,50.59997307
7,Berlin,434,57,377,0,112.7663462,-55.76634617,-49.45300443
8,Bethany,35,11,-6,1,9.094060175,1.905939825,20.95807361
9,Bethel,322,115,207,0,83.66535361,31.33464639,37.45235637
10,Bethlehem,5,0,5,1,1.299151454,-1.299151454,-100
11,Bloomfield,289,440,-151,0,75.09095401,364.909046,485.9560659
12,Bolton,61,10,-5,1,15.84964773,-5.849647733,-36.90711511
13,Bozrah,10,25,-20,1,2.598302907,22.40169709,862.1664946
14,Branford,366,41,325,0,95.0978864,-54.0978864,-56.88652866
15,Bridgeport,3942,1089,"2,853",0,1024.251006,64.74899403,6.32159438
16,Bridgewater,6,0,5,1,1.558981744,-1.558981744,-100
17,Bristol,1344,323,"1,021",0,349.2119107,-26.21191071,-7.506018526
18,Brookfield,272,40,232,0,70.67383907,-30.67383907,-43.40197091
19,Brooklyn,39,117,-112,1,10.13338134,106.8666187,1054.599794
20,Burlington,141,108,121,0,36.63607099,71.36392901,194.7914366
21,Canaan,5,16,-11,1,1.299151454,14.70084855,1131.573113
22,Canterbury,44,55,-50,1,11.43253279,43.56746721,381.0832473
23,Canton,34,27,-22,1,8.834229884,18.16577012,205.6293571
24,Chaplin,58,33,-28,1,15.07015686,17.92984314,118.9758229
25,Cheshire,462,68,394,0,120.0415943,-52.04159431,-43.35296828
26,Chester,60,0,5,1,15.58981744,-15.58981744,-100
27,Clinton,296,64,232,0,76.90976605,-12.90976605,-16.78560047
28,Colchester,309,91,218,0,80.28755983,10.71244017,13.3425903
29,Colebrook,30,0,5,1,7.794908721,-7.794908721,-100
30,Columbia,60,26,-21,1,15.58981744,10.41018256,66.77552573
31,Cornwall,13,0,13,0,3.377793779,-3.377793779,-100
32,Coventry,31,80,-75,1,8.054739012,71.94526099,893.2041235
33,Cromwell,298,32,266,0,77.42942663,-45.42942663,-58.67204319
34,Danbury,1594,280,"1,314",0,414.1694834,-134.1694834,-32.39482598
35,Darien,602,130,472,0,156.417835,-26.41783501,-16.88927289
36,Deep River,23,0,5,1,5.976096686,-5.976096686,-100
37,Derby,282,30,252,0,73.27214198,-43.27214198,-59.05674491
38,Durham,5,0,5,1,1.299151454,-1.299151454,-100
39,East Granby,10,0,5,1,2.598302907,-2.598302907,-100
40,East Haddam,214,16,198,0,55.60368221,-39.60368221,-71.22492726
41,East Hampton,390,47,343,0,101.3338134,-54.33381338,-53.61864077
42,East Hartford,1012,522,490,0,262.9482542,259.0517458,98.51814632
43,East Haven,497,144,353,0,129.1356545,14.86434552,11.51064404
44,East Lyme,323,59,264,0,83.9251839,-24.9251839,-29.69929018
45,East Windsor,5,53,-48,1,1.299151454,51.70084855,3979.585937
46,Eastford,17,17,-12,1,4.417114942,12.58288506,284.8665978
47,Easton,67,24,43,0,17.40862948,6.591370523,37.86266191
48,Ellington,346,50,296,0,89.90128059,-39.90128059,-44.38343962
49,Enfield,817,96,721,0,212.2813475,-116.2813475,-54.77699707
50,Essex,17,55,-50,1,4.417114942,50.58288506,1145.15664
51,Fairfield,1415,79,"1,336",0,367.6598614,-288.6598614,-78.51274825
52,Farmington,400,125,275,0,103.9321163,21.06788372,20.27081182
53,Franklin,10,21,-16,1,2.598302907,18.40169709,708.2198555
54,Glastonbury,816,124,692,0,212.0215172,-88.02151722,-41.51536994
55,Goshen,60,0,5,1,15.58981744,-15.58981744,-100
56,Granby,29,38,-33,1,7.535078431,30.46492157,404.3079558
57,Greenwich,1926,179,"1,747",0,500.4331399,-321.4331399,-64.23098597
58,Griswold,317,208,109,0,82.36620215,125.6337978,152.5307645
59,Groton,1006,303,703,0,261.3892725,41.61072755,15.91906476
60,Guilford,363,36,327,0,94.31839553,-58.31839553,-61.83141178
61,Haddam,26,20,-15,1,6.755587558,13.24441244,196.0512291
62,Hamden,1280,187,"1,093",0,332.5827721,-145.5827721,-43.77339547
63,Hampton,5,11,-6,1,1.299151454,9.700848546,746.7065152
64,Hartford,3518,1317,"2,201",0,914.0829627,402.9170373,44.07882585
65,Hartland,5,15,-10,1,1.299151454,13.70084855,1054.599794
66,Harwinton,56,0,5,1,14.55049628,-14.55049628,-100
67,Hebron,29,80,-75,1,7.535078431,72.46492157,961.7009596
68,Kent,5,16,-11,1,1.299151454,14.70084855,1131.573113
69,Killingly,369,191,178,0,95.87737727,95.12262273,99.21279183
70,Killingworth,33,0,5,1,8.574399593,-8.574399593,-100
71,Lebanon,22,46,-41,1,5.716266396,40.2837336,704.7210682
72,Ledyard,292,42,250,0,75.87044489,-33.87044489,-44.64247565
73,Lisbon,5,32,-27,1,1.299151454,30.70084855,2363.146226
74,Litchfield,101,39,62,0,26.24285936,12.75714064,48.61185461
75,Lyme,24,0,5,1,6.235926977,-6.235926977,-100
76,Madison,323,45,278,0,83.9251839,-38.9251839,-46.38081454
77,Manchester,1259,208,"1,051",0,327.126336,-119.126336,-36.4160029
78,Mansfield,234,108,126,0,60.80028803,47.19971197,77.63073746
79,Marlborough,44,10,-5,1,11.43253279,-1.432532791,-12.53031867
80,Meriden,1537,45,"1,492",0,399.3591568,-354.3591568,-88.73194736
81,Middlebury,169,25,144,0,43.91131913,-18.91131913,-43.06707133
82,Middlefield,20,0,5,1,5.196605814,-5.196605814,-100
83,Middletown,828,145,683,0,215.1394807,-70.13948071,-32.60186391
84,Milford,990,164,826,0,257.2319878,-93.2319878,-36.24432117
85,Monroe,401,41,360,0,104.1919466,-63.19194657,-60.64954985
86,Montville,365,37,328,0,94.83805611,-57.83805611,-60.9861257
87,Morris,7,0,5,1,1.818812035,-1.818812035,-100
88,Naugatuck,805,120,685,0,209.163384,-89.16338402,-42.62858169
89,New Britain,1451,502,949,0,377.0137518,124.9862482,33.15164171
90,New Canaan,391,41,350,0,101.5936437,-60.59364367,-59.64314447
91,New Fairfield,292,144,148,0,75.87044489,68.12955511,89.79722633
92,New Hartford,20,60,-55,1,5.196605814,54.80339419,1054.599794
93,New Haven,3326,1908,"1,418",0,864.1955469,1043.804453,120.783364
94,New London,585,87,498,0,152.0007201,-65.00072006,-42.76342904
95,New Milford,529,120,409,0,137.4502238,-17.45022378,-12.69566779
96,Newington,498,101,397,0,129.3954848,-28.39548477,-21.94472614
97,Newtown,507,64,443,0,131.7339574,-67.73395739,-51.4172342
98,Norfolk,22,17,5,0,5.716266396,11.2837336,197.3969165
99,North Branford,63,14,-9,1,16.36930831,-2.369308315,-14.47408937
100,North Canaan,5,108,5,1,1.299151454,106.7008485,8213.118513
101,North Haven,458,63,395,0,119.0022731,-56.00227314,-47.0598348
102,North Stonington,58,30,-25,1,15.07015686,14.92984314,99.06892992
103,Norwalk,1483,305,"1,178",0,385.3283211,-80.32832112,-20.84672128
104,Norwich,849,338,511,0,220.5959168,117.4040832,53.22133106
105,Old Lyme,107,48,59,0,27.80184111,20.19815889,72.65043641
106,Old Saybrook,184,40,144,0,47.80877349,-7.80877349,-16.3333483
107,Orange,306,48,258,0,79.50806896,-31.50806896,-39.62876897
108,Oxford,278,19,259,0,72.23282082,-53.23282082,-73.69616777
109,Plainfield,371,154,217,0,96.39703785,57.60296215,59.75594627
110,Plainville,360,87,273,0,93.53890466,-6.538904655,-6.990572189
111,Plymouth,278,60,218,0,72.23282082,-12.23282082,-16.93526665
112,Pomfret,24,16,-11,1,6.235926977,9.764073023,156.5777319
113,Portland,8,30,-25,1,2.078642326,27.92135767,1343.249742
114,Preston,11,31,-26,1,2.858133198,28.1418668,984.6240485
115,Prospect,25,44,-39,1,6.495757268,37.50424273,577.3652122
116,Putnam,161,98,63,0,41.8326768,56.1673232,134.2666248
117,Redding,164,51,113,0,42.61216768,8.387832324,19.68412494
118,Ridgefield,539,60,479,0,140.0485267,-80.04852669,-57.15770711
119,Rocky Hill,337,180,157,0,87.56280797,92.43719203,105.5667288
120,Roxbury,17,0,5,1,4.417114942,-4.417114942,-100
121,Salem,5,16,-11,1,1.299151454,14.70084855,1131.573113
122,Salisbury,80,0,80,0,20.78642326,-20.78642326,-100
123,Scotland,5,18,-13,1,1.299151454,16.70084855,1285.519752
124,Seymour,329,0,329,0,85.48416564,-85.48416564,-100
125,Sharon,12,7,-2,1,3.117963489,3.882036511,124.5055154
126,Shelton,607,59,548,0,157.7169865,-98.71698646,-62.59122031
127,Sherman,5,22,-17,1,1.299151454,20.70084855,1593.41303
128,Simsbury,426,51,375,0,110.6877038,-59.68770384,-53.92442139
129,Somers,224,23,201,0,58.20198512,-35.20198512,-60.48244754
130,South Windsor,430,108,322,0,111.727025,-3.727025005,-3.335831241
131,Southbury,478,0,478,0,124.198879,-124.198879,-100
132,Southington,922,104,818,0,239.563528,-135.563528,-56.58771565
133,Sprague,37,35,-30,1,9.613720756,25.38627924,264.062998
134,Stafford,249,121,128,0,64.69774239,56.30225761,87.02352746
135,Stamford,3033,188,"2,845",0,788.0652717,-600.0652717,-76.14410801
136,Sterling,34,35,-30,1,8.834229884,26.16577012,296.1862037
137,Stonington,289,31,258,0,75.09095401,-44.09095401,-58.71673172
138,Stratford,1072,153,919,0,278.5380716,-125.5380716,-45.07034564
139,Suffield,229,68,161,0,59.50113657,8.498863428,14.28353124
140,Thomaston,60,28,-23,1,15.58981744,12.41018256,79.60441232
141,Thompson,223,0,223,0,57.94215483,-57.94215483,-100
142,Tolland,221,81,140,0,57.42249425,23.57750575,41.05970328
143,Torrington,738,99,639,0,191.7547545,-92.75475454,-48.37155395
144,Trumbull,783,305,478,0,203.4471176,101.5528824,49.91610771
145,Union,46,9,-4,1,11.95219337,-2.952193373,-24.70001347
146,Vernon,559,162,397,0,145.2451325,16.75486749,11.53557934
147,Voluntown,49,44,-39,1,12.73168424,31.26831576,245.594496
