county_code,sub_county_code,town,estimated_demand_by_care_availability,children_eligible_for_care_services
015,09190,Brooklyn,147.0,315.72
013,72090,Stafford,94.0,248.56
013,77830,Union,6.0,17.2
007,14300,Chester,0.0,25.08
009,53890,North Branford,98.0,297.52
007,19130,Deep River,0.0,49.28
013,78250,Vernon,714.0,1351.2
003,37140,Hartland,4.0,19.76
003,52140,Newington,257.0,642.84
003,02060,Avon,18.0,203.64
003,70550,Southington,251.0,693.2
015,62710,Putnam,54.0,119.04
001,63480,Redding,0.0,72.76
015,67400,Scotland,4.0,19.96
005,65930,Roxbury,9.0,43.0
005,16050,Colebrook,6.0,13.04
011,78600,Voluntown,8.0,48.64
005,02760,Barkhamsted,26.0,75.64
005,32290,Goshen,13.0,35.92
005,53470,Norfolk,19.0,70.2
015,40500,Killingly,316.0,791.36
011,80280,Waterford,141.0,519.24
007,61800,Portland,68.0,115.24
011,44210,Lyme,21.0,62.84
009,62290,Prospect,54.0,107.64
011,55500,North Stonington,75.0,193.24
009,04580,Bethany,25.0,55.0
001,18850,Darien,11.0,69.24
003,60120,Plainville,156.0,444.92
005,76570,Torrington,574.0,1313.16
009,58300,Oxford,28.0,106.96
009,19550,Derby,324.0,684.6
011,15910,Colchester,172.0,331.36
003,31240,Glastonbury,62.0,250.72
011,56270,Norwich,1078.0,1872.52
003,84900,Wethersfield,126.0,413.04
007,57320,Old Saybrook,46.0,168.76
001,18500,Danbury,1855.0,4104.12
013,25360,Ellington,55.0,247.88
003,44700,Manchester,1004.0,2768.2
013,76290,Tolland,42.0,228.24
001,68310,Sherman,6.0,42.08
001,52980,Newtown,41.0,256.36
003,05910,Bloomfield,236.0,447.36
001,83430,Weston,8.0,56.0
005,79510,Warren,5.0,8.08
001,83500,Westport,53.0,161.52
005,37280,Harwinton,0.0,37.0
009,69640,Southbury,23.0,151.4
007,47080,Middlefield,18.0,64.48
011,73770,Stonington,161.0,322.52
013,01080,Andover,17.0,49.8
003,37070,Hartford,4814.0,8092.92
013,17800,Coventry,109.0,198.08
005,43370,Litchfield,54.0,197.68
013,06260,Bolton,9.0,28.04
009,52070,New Haven,4448.0,7948.48
013,16400,Columbia,0.0,95.56
007,18080,Cromwell,42.0,174.56
003,32640,Granby,79.0,237.28
001,33620,Greenwich,321.0,944.0
003,27600,Farmington,133.0,410.8
007,40710,Killingworth,0.0,26.0
015,13810,Chaplin,50.0,65.56
009,03250,Beacon Falls,16.0,107.56
005,75730,Thomaston,27.0,161.48
005,79720,Washington,0.0,85.0
009,46940,Middlebury,0.0,76.96000000000001
009,49950,Naugatuck,762.0,1454.52
009,54870,North Haven,167.0,277.84000000000003
005,10940,Canaan,5.0,27.56
009,01220,Ansonia,305.0,568.24
009,07310,Branford,340.0,607.76
009,14160,Cheshire,87.0,431.76
009,87700,Woodbridge,33.0,154.28
015,01430,Ashford,125.0,280.32
015,12130,Canterbury,12.0,81.8
015,59980,Plainfield,347.0,744.56
005,80490,Watertown,159.0,374.76
009,57600,Orange,31.0,201.68
009,67610,Seymour,70.0,328.88
009,82870,West Haven,921.0,2435.36
003,22630,East Hartford,1590.0,2737.56
007,15350,Clinton,159.0,336.2
007,22490,East Hampton,48.0,203.4
007,35230,Haddam,52.0,157.0
007,47360,Middletown,647.0,1338.84
