Site Name,Full Address,Preschool Spaces,Infant/Toddler Spaces,School Age Spaces,All Available Spaces,Facility Code,Town Code,Address,Town,ZIP Code,Latitude,Longitude,Town from Census,lat,lon,person_id,senator_district,senator_full_name,senator_first_name,senator_last_name,senator_party,representative_district,representative_full_name,representative_first_name,representative_last_name,representative_party
Andover BOE at Early Learning Center,35 School Road Andover CT 06232,17.0,0.0,,17.0,FC0000010111,1.0,35 School Road,Andover,06232,41.72799,-72.36764,ANDOVER,41.727990000000005,-72.36764000000001,ocd-person/50c1a448-665c-492b-8a2c-0cfbfd587c4c,4,Steve Cassano,Steve,Cassano,Democratic,55,Robin Green,Robin,Green,Republican
Ansonia BOE at Mead School,75 Ford Street Ansonia CT 06401,15.0,0.0,,15.0,FC0000020311,2.0,75 Ford Street,Ansonia,06401,41.33621,-73.04964,ANSONIA,41.336209999999994,-73.04964,ocd-person/3969673d-4a3e-487e-a572-42ce9f79e6dd,17,Jorge Cabrera,,,Democratic,104,Kara Rochelle,Kara,Rochelle,Democratic
Ansonia Public Schools Pre-K,115 Howard Avenue Ansonia CT 06401,60.0,0.0,,60.0,FC0000025111,2.0,115 Howard Avenue,Ansonia,06401,41.341076,-73.0838,ANSONIA,41.341076,-73.0838,ocd-person/3969673d-4a3e-487e-a572-42ce9f79e6dd,17,Jorge Cabrera,,,Democratic,104,Kara Rochelle,Kara,Rochelle,Democratic
Julia Day Nursery and Kindergarten,76 Central Street Ansonia CT 06401,23.0,0.0,,23.0,FC0000020241,2.0,76 Central Street,Ansonia,06401,41.340267,-73.07397,ANSONIA,41.340267,-73.07396999999999,ocd-person/3969673d-4a3e-487e-a572-42ce9f79e6dd,17,Jorge Cabrera,,,Democratic,104,Kara Rochelle,Kara,Rochelle,Democratic
Lower Naugatuck Valley School Early Ch Ed (Ansonia 18 PSR + 46 CDC + 13 Derby PSR),80 Howard Avenue Ansonia CT 06401,62.0,15.0,,77.0,FC0000020541,2.0,80 Howard Avenue,Ansonia,06401,41.33885,-73.08359,ANSONIA,41.33885,-73.08359,ocd-person/3969673d-4a3e-487e-a572-42ce9f79e6dd,17,Jorge Cabrera,,,Democratic,104,Kara Rochelle,Kara,Rochelle,Democratic
Valley YMCA Child Care Center,32 Howard Avenue Ansonia CT 06401,22.0,0.0,,22.0,FC0000020641,2.0,32 Howard Avenue,Ansonia,06401,41.3369,-73.08482,ANSONIA,41.3369,-73.08482,ocd-person/3969673d-4a3e-487e-a572-42ce9f79e6dd,17,Jorge Cabrera,,,Democratic,104,Kara Rochelle,Kara,Rochelle,Democratic
Ashford BOE at Ashford Elementary,440 Westford Road Ashford CT 06278,24.0,0.0,,24.0,FC0000030111,3.0,440 Westford Road,Ashford,06278,41.892292,-72.17012,ASHFORD,41.892292,-72.17012,ocd-person/cbdde335-cd3e-4769-b477-5893c46d96b6,35,Dan Champagne,Dan,Champagne,Republican,53,Tammy Nuccio,,,Republican
YMCA Children's Center,57 Grassy Plain Street Bethel CT 06801,85.0,0.0,,85.0,FC0000090141,9.0,57 Grassy Plain Street,Bethel,06801,41.37363,-73.42381,BETHEL,41.37363,-73.42381,ocd-person/982f8478-39ab-44d8-8322-6807a26e25e4,26,Will Haskell,Will,Haskell,Democratic,2,Raghib Allie-Brennan,Raghib,Allie-Brennan,Democratic
Bloomfield Early Learning Center,73 Rockwell Avenue Bloomfield CT 06002,57.0,0.0,0.0,57.0,FC0000110141,11.0,73 Rockwell Avenue,Bloomfield,06002,41.819935,-72.70101,BLOOMFIELD,41.819935,-72.70101,ocd-person/83a4e876-4df7-48ef-8a84-7d7940585af9,2,Douglas McCrory,Douglas,McCrory,Democratic,15,Bobby G. Gibson Jr.,Bobby,Gibson,Democratic
CRT Eric D. Coleman ECE Center,1051 Blue Hills Avenue Bloomfield CT 06002,,0.0,,0.0,FC0000110341,11.0,1051 Blue Hills Avenue,Bloomfield,06002,41.823425,-72.69627,BLOOMFIELD,41.823425,-72.69627,ocd-person/83a4e876-4df7-48ef-8a84-7d7940585af9,2,Douglas McCrory,Douglas,McCrory,Democratic,15,Bobby G. Gibson Jr.,Bobby,Gibson,Democratic
