,city,children_needing_care_demandestimated_infantstoddlers,available_spaces_for_children_supply_infantstoddlers,percent_of_need_met_infantstoddlers,shortage_of_care_infantstoddlers,children_needing_care_demandestimated_preschoolers,available_spaces_for_children_supply_preschoolers,percent_of_need_met_preschoolers,shortage_of_care_preschoolers,is_imputed_infantstoddlers,is_imputed_preschoolers,expected_slots_by_need_infantstoddlers,delta_slots_infantstoddlers,capacity_above_expectation_infantstoddlers,expected_slots_by_need_preschoolers,delta_slots_preschoolers,capacity_above_expectation_preschoolers
1,Andover,20,5.0,100%,0,88,56.0,1120%,51,1,1,6.242603162107196,-1.242603162107196,-19.905208289545577,84.35937811176463,-28.359378111764627,-33.61733899246191
2,Ansonia,468,64.0,14%,-404,388,495.0,128%,107,0,0,146.0769139933084,-82.07691399330841,-56.18746436351212,371.94816712914405,123.05183287085595,33.083059346850106
3,Ashford,15,8.0,160%,3,79,62.0,1240%,57,1,1,4.6819523715803975,3.3180476284196025,70.86888898230275,75.73171444124324,-13.731714441243241,-18.132052789980143
4,Avon,351,217.0,62%,-134,234,529.0,226%,295,0,0,109.5576854949813,107.4423145050187,98.06917152328897,224.31925543355595,304.68074456644405,135.8246058625544
5,Barkhamsted,44,6.0,120%,1,74,41.0,820%,36,1,1,13.733726956635833,-7.733726956635833,-56.3119317942976,70.93856795762025,-29.93856795762025,-42.20351329266471
6,Beacon Falls,5,3.0,60%,-2,124,50.0,1000%,45,1,1,1.560650790526799,1.439349209473201,92.22750010509061,118.87003279385016,-68.87003279385016,-57.937253969877936
7,Berlin,432,159.0,37%,-273,434,354.0,82%,-80,0,0,134.84022830151545,24.159771698484548,17.917332240391215,416.0451147784756,-62.04511477847558,-14.913073744781663
8,Bethany,51,77.0,1540%,72,5,106.0,2120%,101,1,1,15.91863806337335,61.08136193662665,383.7097224866659,4.793146483622991,101.20685351637701,2111.4909352796976
9,Bethel,399,121.0,30%,-278,322,394.0,122%,72,0,0,124.53993308403857,-3.539933084038566,-2.8424080504763456,308.67863354532057,85.32136645467943,27.64083975451202
10,Bethlehem,16,8.0,160%,3,207,16.0,320%,11,1,1,4.994082529685757,3.005917470314243,60.18958342090883,198.4362644219918,-182.4362644219918,-91.93695766920172
11,Bloomfield,334,136.0,41%,-198,289,885.0,306%,596,0,0,104.25147280719018,31.748527192809817,30.45379248648863,277.04386675340885,607.9561332465912,219.44399649450483
12,Bolton,61,6.0,120%,1,64,68.0,1360%,63,1,1,19.039939644426948,-13.039939644426948,-68.48729506473924,61.352274990374276,6.647725009625724,10.83533578937163
13,Bozrah,30,0.0,0%,-5,89,25.0,500%,20,1,1,9.363904743160795,-9.363904743160795,-100.0,85.31800740848922,-60.31800740848922,-70.69786231609474
14,Branford,428,187.0,44%,-241,366,365.0,100%,-1,0,0,133.591707669094,53.408292330905994,39.97874812948575,350.8583226012029,14.141677398797128,4.030594826411179
15,Bridgeport,4213,1225.0,29%,-2988,3942,4084.0,104%,142,0,0,1315.0043560978809,-90.00435609788087,-6.844415053114965,3778.9166876883655,305.0833123116345,8.07330082998627
16,Bridgewater,5,140.0,0%,-5,173,427.0,0%,-5,1,1,1.560650790526799,138.4393492094732,8870.616671570895,165.84286833335545,261.15713166664455,157.47263315640498
17,Bristol,1493,362.0,24%,-1131,1344,1231.0,92%,-113,0,0,466.01032605130223,-104.01032605130223,-22.319317885641,1288.3977747978597,-57.39777479785971,-4.454973139554282
18,Brookfield,325,141.0,43%,-184,272,409.0,150%,137,0,0,101.44230138424194,39.557698615758056,38.99526930675781,260.74716870909066,148.25283129090934,56.85692850468166
19,Brooklyn,62,51.0,1020%,46,5,202.0,4040%,197,1,1,19.35206980253231,31.64793019746769,163.53770175697903,4.793146483622991,197.206853516377,4114.350650249989
20,Burlington,253,89.0,35%,-164,141,164.0,117%,23,0,0,78.96893000065603,10.03106999934397,12.702552762536653,135.16673083816832,28.83326916183168,21.331631669299615
21,Canaan,20,20.0,400%,15,127,59.0,1180%,54,1,1,6.242603162107196,13.757396837892804,220.37916684181766,121.74592068402396,-62.74592068402396,-51.53841732970504
22,Canterbury,25,15.0,300%,10,226,80.0,1600%,75,1,1,7.8032539526339955,7.1967460473660045,92.2275001050906,216.65022105975916,-136.65022105975916,-63.07412029922028
23,Canton,7,55.0,1100%,50,5,149.0,2980%,144,1,1,2.184911106737519,52.815088893262484,2417.264882328567,4.793146483622991,144.206853516377,3008.6051826101407
24,Chaplin,5,23.0,460%,18,185,58.0,1160%,53,1,1,1.560650790526799,21.4393492094732,1373.7441674723614,177.34641989405065,-119.34641989405065,-67.2956465460932
